Source;Target;Weight
424;249;0.002
424;116;0.002
214;4;0.002
444;370;0.004
324;410;0.002
324;171;0.002
239;431;0.014
239;4;0.01
338;4;0.002
338;339;0.002
256;257;0.002
215;242;0.002
215;46;0.002
402;412;0.002
402;401;0.002
393;203;0.004
445;435;0.002
235;181;0.004
235;24;0.002
235;182;0.002
235;90;0.002
235;405;0.016
268;335;0.01
268;4;0.002
268;377;0.002
420;382;0.002
420;446;0.004
420;84;0.004
50;46;0.002
50;247;0.004
50;4;0.002
447;30;0.004
447;32;0.002
273;89;0.002
273;311;0.002
448;335;0.002
67;449;0.002
246;382;0.004
246;168;0.032
246;306;0.004
246;249;0.024
246;116;0.026
246;450;0.002
246;451;0.002
246;247;0.002
249;168;0.024
249;306;0.004
249;116;0.026
249;450;0.002
249;451;0.002
249;382;0.002
249;247;0.002
249;4;0.002
249;171;0.002
257;4;0.004
257;182;0.002
385;4;0.002
311;312;0.036
311;101;0.012
311;452;0.012
311;4;0.012
311;89;0.002
46;265;0.006
46;32;0.006
46;360;0.018
46;252;0.002
46;247;0.002
46;171;0.01
46;243;0.002
46;49;0.002
46;4;0.008
46;24;0.008
46;453;0.006
46;182;0.002
46;90;0.002
46;180;0.002
1;2;0.04
1;3;0.004
1;4;0.03
1;267;0.002
1;266;0.002
1;454;0.004
1;49;0.002
1;455;0.014
1;281;0.018
1;456;0.002
1;252;0.004
1;62;0.002
1;293;0.002
1;270;0.002
1;226;0.002
254;255;0.01
254;365;0.002
247;168;0.002
247;116;0.002
247;4;0.002
253;4;0.004
253;243;0.002
379;380;0.002
365;255;0.002
221;216;0.004
221;401;0.002
221;226;0.002
22;21;0.002
22;292;0.002
22;171;0.002
146;4;0.008
10;7;0.002
10;9;0.002
266;267;0.006
266;4;0.002
266;242;0.002
455;281;0.014
455;456;0.002
377;206;0.004
377;255;0.004
171;4;0.02
171;292;0.016
171;243;0.002
171;410;0.002
171;347;0.01
171;361;0.01
171;457;0.002
171;458;0.006
450;168;0.002
450;116;0.002
60;56;0.002
60;57;0.002
60;58;0.002
137;234;0.004
137;136;0.004
122;123;0.004
122;399;0.008
62;4;0.004
62;162;0.002
62;157;0.002
62;106;0.002
293;4;0.002
89;318;0.01
89;4;0.016
89;101;0.004
89;24;0.002
331;242;0.008
331;403;0.002
157;155;0.002
157;106;0.002
370;106;0.002
386;56;0.002
281;456;0.002
281;282;0.002
3;49;0.002
3;4;0.002
3;255;0.006
155;200;0.002
155;306;0.002
155;349;0.002
255;206;0.01
255;269;0.004
255;459;0.002
255;460;0.006
255;106;0.002
451;168;0.002
451;382;0.002
451;116;0.002
84;4;0.004
203;4;0.002
203;389;0.002
192;193;0.002
154;347;0.006
234;136;0.006
234;233;0.002
49;4;0.026
116;168;0.026
116;306;0.004
116;382;0.002
116;4;0.002
57;56;0.016
57;58;0.004
17;160;0.002
17;461;0.002
226;2;0.002
226;4;0.002
164;165;0.004
4;318;0.004
4;80;0.01
4;216;0.006
4;267;0.002
4;382;0.004
4;361;0.008
4;454;0.004
4;347;0.006
4;242;0.004
4;206;0.004
4;339;0.002
4;182;0.012
4;127;0.002
4;179;0.006
4;24;0.004
4;180;0.002
4;90;0.004
4;292;0.002
4;404;0.012
4;2;0.006
4;452;0.012
4;312;0.012
4;462;0.002
4;453;0.004
32;30;0.036
32;31;0.012
32;166;0.014
32;265;0.01
32;136;0.002
404;182;0.002
404;361;0.004
277;97;0.002
31;30;0.014
243;30;0.004
8;182;0.002
463;464;0.01
465;401;0.004
275;435;0.002
270;382;0.004
270;2;0.002
270;119;0.002
270;206;0.004
270;272;0.004
360;265;0.006
360;312;0.002
360;127;0.004
180;179;0.002
180;90;0.004
230;119;0.006
347;361;0.01
452;312;0.016
56;97;0.002
56;58;0.004
382;168;0.004
382;200;0.002
136;74;0.002
136;166;0.002
335;106;0.002
425;206;0.002
97;165;0.002
97;278;0.002
97;279;0.002
279;278;0.002
30;166;0.002
165;282;0.002
216;219;0.002
460;106;0.002
242;403;0.002
349;306;0.002
168;306;0.004
181;24;0.002
181;182;0.004
181;90;0.002
101;24;0.002
219;206;0.002
466;333;0.002
272;206;0.004
9;7;0.002
24;179;0.008
24;182;0.008
24;90;0.008
179;90;0.002
432;166;0.002
182;90;0.004
